1148,Items,ID,Stackability,Survival Obtainable,Peaceful Obtainable,Hunger,Saturation,Effect When Eaten,Is Weapon,Attack Speed,Attack Damage,Damage Per Second,Breaking Speed,Cooldown (in seconds),XP From Smelting,Obtainable By Smelting,Smeltable,Fuel Duration,Renewable
,Iron Ore,iron_ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.7,No,With Blast Furnace,None,No
,Deepslate Iron Ore,deepslate_iron_ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.7,No,With Blast Furnace,None,No
,Copper Ore,copper_ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.7,No,With Blast Furnace,None,No
,Deepslate Copper Ore,deepslate_copper_ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.7,No,With Blast Furnace,None,No
,Gold Ore,gold_ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,1,No,With Blast Furnace,None,No
,Deepslate Gold Ore,deepslate_gold_ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,1,No,With Blast Furnace,None,No
,Redstone Ore,redstone_ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.3,No,With Blast Furnace,None,No
,Deepslate Redstone Ore,deepslate_redstone_ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.3,No,With Blast Furnace,None,No
,Emerald Ore,emerald_ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,1,No,With Blast Furnace,None,No
,Deepslate Emerald Ore,deepslate_emerald_ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,1,No,With Blast Furnace,None,No
,Lapis Lazuli Ore,lapis_ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.2,No,With Blast Furnace,None,No
,Deepslate Lapis Lazuli Ore,deepslate_lapis_ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.2,No,With Blast Furnace,None,No
,Diamond Ore,diamond_ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,1,No,With Blast Furnace,None,No
,Deepslate Diamond Ore,deepslate_diamond_ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,1,No,With Blast Furnace,None,No
,Nether Gold Ore,nether_gold_ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,1,No,With Blast Furnace,None,No
,Nether Quartz Ore,nether_quartz_ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.2,No,With Blast Furnace,None,No
,Ancient Debris,ancient_debris,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,2,No,With Blast Furnace,None,No
,Block of Coal,coal_block,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,800,Yes
,Block of Raw Iron,raw_iron_block,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,No
,Block of Raw Copper,raw_copper_block,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,No
,Block of Raw Gold,raw_gold_block,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,No
,Block of Amethyst,amethyst_block,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Block of Iron,iron_block,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Block of Copper,copper_block,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Block of Gold,gold_block,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Block of Diamond,diamond_block,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,No
,Block of Netherite,netherite_block,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,No
,Exposed Copper,exposed_copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Weathered Copper,weathered_copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Oxidized Copper,oxidized_copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Cut Copper,cut_copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Exposed Cut Copper,exposed_cut_copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Weathered Cut Copper,weathered_cut_copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Oxidized Cut Copper,oxidized_cut_copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Cut Copper Stairs,cut_copper_stairs,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Exposed Cut Copper Stairs,exposed_cut_copper_stairs,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Weathered Cut Copper Stairs,weathered_cut_copper_stairs,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Oxidized Cut Copper Stairs,oxidized_cut_copper_stairs,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Cut Copper Slab,cut_copper_slab,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Exposed Cut Copper Slab,exposed_cut_copper_slab,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Weathered Cut Copper Slab,weathered_cut_copper_slab,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Oxidized Cut Copper Slab,oxidized_cut_copper_slab,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Waxed Block of Copper,waxed_copper_block,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Waxed Exposed Copper,waxed_exposed_copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Waxed Weathered Copper,waxed_weathered_copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Waxed Oxidized Copper,waxed_oxidized_copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Waxed Cut Copper,waxed_cut_copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Waxed Exposed Cut Copper,waxed_exposed_cut_copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Waxed Weathered Cut Copper,waxed_weathered_cut_copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Waxed Oxidized Cut Copper,waxed_oxidized_cut_copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Waxed Cut Copper Stairs,waxed_cut_copper_stairs,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Waxed Exposed Cut Copper Stairs,waxed_exposed_cut_copper_stairs,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Waxed Weathered Cut Copper Stairs,waxed_weathered_cut_copper_stairs,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Waxed Oxidized Cut Copper Stairs,waxed_oxidized_cut_copper_stairs,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Waxed Cut Copper Slab,waxed_cut_copper_slab,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Waxed Exposed Cut Copper Slab,waxed_exposed_cut_copper_slab,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Waxed Weathered Cut Copper Slab,waxed_weathered_cut_copper_slab,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Waxed Oxidized Cut Copper Slab,waxed_oxidized_cut_copper_slab,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Oak Log,oak_log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Spruce Log,spruce_log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Birch Log,birch_log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Jungle Log,jungle_log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Acacia Log,acacia_log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Dark Oak Log,dark_oak_log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Mangrove Log,mangrove_log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Mangrove Roots,mangrove_roots,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Muddy Mangrove Roots,muddy_mangrove_roots,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Crimson Stem,crimson_stem,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Warped Stem,warped_stem,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Stripped Oak Log,stripped_oak_log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Stripped Spruce Log,stripped_spruce_log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Stripped Birch Log,stripped_birch_log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Stripped Jungle Log,stripped_jungle_log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Stripped Acacia Log,stripped_acacia_log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Stripped Dark Oak Log,stripped_dark_oak_log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Stripped Mangrove Log,stripped_mangrove_log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Stripped Crimson Stem,stripped_crimson_stem,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Stripped Warped Stem,stripped_warped_stem,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Stripped Oak Wood,stripped_oak_wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Stripped Spruce Wood,stripped_spruce_wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Stripped Birch Wood,stripped_birch_wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Stripped Jungle Wood,stripped_jungle_wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Stripped Acacia Wood,stripped_acacia_wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Stripped Dark Oak Wood,stripped_dark_oak_wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Stripped Mangrove Wood,stripped_mangrove_wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Stripped Crimson Hyphae,stripped_crimson_hyphae,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Stripped Warped Hyphae,stripped_warped_hyphae,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Oak Wood,oak_wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Spruce Wood,spruce_wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Birch Wood,birch_wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Jungle Wood,jungle_wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Acacia Wood,acacia_wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Dark Oak Wood,dark_oak_wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Mangrove Wood,mangrove_wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
,Crimson Hyphae,crimson_hyphae,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Warped Hyphae,warped_hyphae,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Oak Leaves,oak_leaves,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Spruce Leaves,spruce_leaves,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Birch Leaves,birch_leaves,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Jungle Leaves,jungle_leaves,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Acacia Leaves,acacia_leaves,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Dark Oak Leaves,dark_oak_leaves,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Mangrove Leaves,mangrove_leaves,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Azalea Leaves,azalea_leaves,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Flowering Azalea Leaves,flowering_azalea_leaves,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Sponge,sponge,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,With Furnace Only,No,None,No
,Wet Sponge,wet_sponge,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,None,No
,Glass,glass,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,With Furnace Only,No,None,Yes
,Tinted Glass,tinted_glass,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Block of Lapis Lazuli,lapis_block,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Sandstone,sandstone,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.1,No,With Furnace Only,None,Yes
,Chiseled Sandstone,chiseled_sandstone,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Cut Sandstone,cut_sandstone,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Cobweb,cobweb,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,No
,Grass,grass,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Fern,fern,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Azalea,azalea,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,5,Yes
,Flowering Azalea,flowering_azalea,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Dead Bush,dead_bush,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,No
,Seagrass,seagrass,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Sea Pickle,sea_pickle,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.1,No,With Furnace Only,None,Yes
,White Wool,white_wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Orange Wool,orange_wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Magenta Wool,magenta_wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Light Blue Wool,light_blue_wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Yellow Wool,yellow_wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Lime Wool,lime_wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Pink Wool,pink_wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Gray Wool,gray_wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Light Gray Wool,light_gray_wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Cyan Wool,cyan_wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Purple Wool,purple_wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Blue Wool,blue_wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Brown Wool,brown_wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Green Wool,green_wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Red Wool,red_wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Black Wool,black_wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
,Dandelion,dandelion,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Poppy,poppy,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Blue Orchid,blue_orchid,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Allium,allium,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Azure Bluet,azure_bluet,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Red Tulip,red_tulip,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Orange Tulip,orange_tulip,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,White Tulip,white_tulip,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Pink Tulip,pink_tulip,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Oxeye Daisy,oxeye_daisy,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Cornflower,cornflower,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Lily of the Valley,lily_of_the_valley,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Wither Rose,wither_rose,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Spore Blossom,spore_blossom,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,No
,Brown Mushroom,brown_mushroom,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Red Mushroom,red_mushroom,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Crimson Fungus,crimson_fungus,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Warped Fungus,warped_fungus,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Crimson Roots,crimson_roots,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
,Warped Roots,warped_roots,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
