ID,Items,Stackability,Survival Obtainable,Peaceful Obtainable,Hunger,Saturation,Effect When Eaten,Is Weapon,Attack Speed,Attack Damage,Damage Per Second,Breaking Speed,Cooldown (in seconds),Smeltable,Fuel Duration,Renewable
iron_ore,Iron Ore,64,1,1,,,Inedible,0,4,1,4,1,,With Blast Furnace,,0
deepslate_iron_ore,Deepslate Iron Ore,64,1,1,,,Inedible,0,4,1,4,1,,With Blast Furnace,,0
copper_ore,Copper Ore,64,1,1,,,Inedible,0,4,1,4,1,,With Blast Furnace,,0
deepslate_copper_ore,Deepslate Copper Ore,64,1,1,,,Inedible,0,4,1,4,1,,With Blast Furnace,,0
gold_ore,Gold Ore,64,1,1,,,Inedible,0,4,1,4,1,,With Blast Furnace,,0
deepslate_gold_ore,Deepslate Gold Ore,64,1,1,,,Inedible,0,4,1,4,1,,With Blast Furnace,,0
redstone_ore,Redstone Ore,64,1,1,,,Inedible,0,4,1,4,1,,With Blast Furnace,,0
deepslate_redstone_ore,Deepslate Redstone Ore,64,1,1,,,Inedible,0,4,1,4,1,,With Blast Furnace,,0
emerald_ore,Emerald Ore,64,1,1,,,Inedible,0,4,1,4,1,,With Blast Furnace,,0
deepslate_emerald_ore,Deepslate Emerald Ore,64,1,1,,,Inedible,0,4,1,4,1,,With Blast Furnace,,0
lapis_ore,Lapis Lazuli Ore,64,1,1,,,Inedible,0,4,1,4,1,,With Blast Furnace,,0
deepslate_lapis_ore,Deepslate Lapis Lazuli Ore,64,1,1,,,Inedible,0,4,1,4,1,,With Blast Furnace,,0
diamond_ore,Diamond Ore,64,1,1,,,Inedible,0,4,1,4,1,,With Blast Furnace,,0
deepslate_diamond_ore,Deepslate Diamond Ore,64,1,1,,,Inedible,0,4,1,4,1,,With Blast Furnace,,0
nether_gold_ore,Nether Gold Ore,64,1,1,,,Inedible,0,4,1,4,1,,With Blast Furnace,,0
nether_quartz_ore,Nether Quartz Ore,64,1,1,,,Inedible,0,4,1,4,1,,With Blast Furnace,,0
ancient_debris,Ancient Debris,64,1,1,,,Inedible,0,4,1,4,1,,With Blast Furnace,,0
coal_block,Block of Coal,64,1,1,,,Inedible,0,4,1,4,1,,No,800,1
raw_iron_block,Block of Raw Iron,64,1,1,,,Inedible,0,4,1,4,1,,No,,0
raw_copper_block,Block of Raw Copper,64,1,1,,,Inedible,0,4,1,4,1,,No,,0
raw_gold_block,Block of Raw Gold,64,1,1,,,Inedible,0,4,1,4,1,,No,,0
amethyst_block,Block of Amethyst,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
iron_block,Block of Iron,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
copper_block,Block of Copper,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
gold_block,Block of Gold,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
diamond_block,Block of Diamond,64,1,1,,,Inedible,0,4,1,4,1,,No,,0
netherite_block,Block of Netherite,64,1,1,,,Inedible,0,4,1,4,1,,No,,0
exposed_copper,Exposed Copper,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
weathered_copper,Weathered Copper,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
oxidized_copper,Oxidized Copper,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
cut_copper,Cut Copper,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
exposed_cut_copper,Exposed Cut Copper,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
weathered_cut_copper,Weathered Cut Copper,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
oxidized_cut_copper,Oxidized Cut Copper,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
cut_copper_stairs,Cut Copper Stairs,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
exposed_cut_copper_stairs,Exposed Cut Copper Stairs,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
weathered_cut_copper_stairs,Weathered Cut Copper Stairs,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
oxidized_cut_copper_stairs,Oxidized Cut Copper Stairs,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
cut_copper_slab,Cut Copper Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
exposed_cut_copper_slab,Exposed Cut Copper Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
weathered_cut_copper_slab,Weathered Cut Copper Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
oxidized_cut_copper_slab,Oxidized Cut Copper Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
waxed_copper_block,Waxed Block of Copper,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
waxed_exposed_copper,Waxed Exposed Copper,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
waxed_weathered_copper,Waxed Weathered Copper,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
waxed_oxidized_copper,Waxed Oxidized Copper,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
waxed_cut_copper,Waxed Cut Copper,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
waxed_exposed_cut_copper,Waxed Exposed Cut Copper,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
waxed_weathered_cut_copper,Waxed Weathered Cut Copper,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
waxed_oxidized_cut_copper,Waxed Oxidized Cut Copper,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
waxed_cut_copper_stairs,Waxed Cut Copper Stairs,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
waxed_exposed_cut_copper_stairs,Waxed Exposed Cut Copper Stairs,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
waxed_weathered_cut_copper_stairs,Waxed Weathered Cut Copper Stairs,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
waxed_oxidized_cut_copper_stairs,Waxed Oxidized Cut Copper Stairs,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
waxed_cut_copper_slab,Waxed Cut Copper Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
waxed_exposed_cut_copper_slab,Waxed Exposed Cut Copper Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
waxed_weathered_cut_copper_slab,Waxed Weathered Cut Copper Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
waxed_oxidized_cut_copper_slab,Waxed Oxidized Cut Copper Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
oak_log,Oak Log,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
spruce_log,Spruce Log,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
birch_log,Birch Log,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
jungle_log,Jungle Log,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
acacia_log,Acacia Log,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
dark_oak_log,Dark Oak Log,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
mangrove_log,Mangrove Log,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
mangrove_roots,Mangrove Roots,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
muddy_mangrove_roots,Muddy Mangrove Roots,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
crimson_stem,Crimson Stem,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
warped_stem,Warped Stem,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
stripped_oak_log,Stripped Oak Log,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
stripped_spruce_log,Stripped Spruce Log,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
stripped_birch_log,Stripped Birch Log,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
stripped_jungle_log,Stripped Jungle Log,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
stripped_acacia_log,Stripped Acacia Log,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
stripped_dark_oak_log,Stripped Dark Oak Log,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
stripped_mangrove_log,Stripped Mangrove Log,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
stripped_crimson_stem,Stripped Crimson Stem,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
stripped_warped_stem,Stripped Warped Stem,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
stripped_oak_wood,Stripped Oak Wood,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
stripped_spruce_wood,Stripped Spruce Wood,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
stripped_birch_wood,Stripped Birch Wood,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
stripped_jungle_wood,Stripped Jungle Wood,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
stripped_acacia_wood,Stripped Acacia Wood,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
stripped_dark_oak_wood,Stripped Dark Oak Wood,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
stripped_mangrove_wood,Stripped Mangrove Wood,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
stripped_crimson_hyphae,Stripped Crimson Hyphae,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
stripped_warped_hyphae,Stripped Warped Hyphae,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
oak_wood,Oak Wood,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
spruce_wood,Spruce Wood,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
birch_wood,Birch Wood,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
jungle_wood,Jungle Wood,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
acacia_wood,Acacia Wood,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
dark_oak_wood,Dark Oak Wood,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
mangrove_wood,Mangrove Wood,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,15,1
crimson_hyphae,Crimson Hyphae,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
warped_hyphae,Warped Hyphae,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
oak_leaves,Oak Leaves,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
spruce_leaves,Spruce Leaves,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
birch_leaves,Birch Leaves,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
jungle_leaves,Jungle Leaves,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
acacia_leaves,Acacia Leaves,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
dark_oak_leaves,Dark Oak Leaves,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
mangrove_leaves,Mangrove Leaves,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
azalea_leaves,Azalea Leaves,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
flowering_azalea_leaves,Flowering Azalea Leaves,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
sponge,Sponge,64,1,1,,,Inedible,0,4,1,4,1,,No,,0
wet_sponge,Wet Sponge,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,,0
glass,Glass,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
tinted_glass,Tinted Glass,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
lapis_block,Block of Lapis Lazuli,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
sandstone,Sandstone,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,,1
chiseled_sandstone,Chiseled Sandstone,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
cut_sandstone,Cut Sandstone,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
cobweb,Cobweb,64,1,1,,,Inedible,0,4,1,4,1,,No,,0
grass,Grass,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
fern,Fern,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
azalea,Azalea,64,1,1,,,Inedible,0,4,1,4,1,,No,5,1
flowering_azalea,Flowering Azalea,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
dead_bush,Dead Bush,64,1,1,,,Inedible,0,4,1,4,1,,No,,0
seagrass,Seagrass,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
sea_pickle,Sea Pickle,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,,1
white_wool,White Wool,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
orange_wool,Orange Wool,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
magenta_wool,Magenta Wool,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
light_blue_wool,Light Blue Wool,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
yellow_wool,Yellow Wool,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
lime_wool,Lime Wool,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
pink_wool,Pink Wool,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
gray_wool,Gray Wool,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
light_gray_wool,Light Gray Wool,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
cyan_wool,Cyan Wool,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
purple_wool,Purple Wool,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
blue_wool,Blue Wool,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
brown_wool,Brown Wool,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
green_wool,Green Wool,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
red_wool,Red Wool,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
black_wool,Black Wool,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
dandelion,Dandelion,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
poppy,Poppy,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
blue_orchid,Blue Orchid,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
allium,Allium,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
azure_bluet,Azure Bluet,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
red_tulip,Red Tulip,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
orange_tulip,Orange Tulip,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
white_tulip,White Tulip,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
pink_tulip,Pink Tulip,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
oxeye_daisy,Oxeye Daisy,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
cornflower,Cornflower,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
lily_of_the_valley,Lily of the Valley,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
wither_rose,Wither Rose,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
spore_blossom,Spore Blossom,64,1,1,,,Inedible,0,4,1,4,1,,No,,0
brown_mushroom,Brown Mushroom,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
red_mushroom,Red Mushroom,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
crimson_fungus,Crimson Fungus,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
warped_fungus,Warped Fungus,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
crimson_roots,Crimson Roots,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
warped_roots,Warped Roots,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
nether_sprouts,Nether Sprouts,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
weeping_vines,Weeping Vines,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
twisting_vines,Twisting Vines,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
sugar_cane,Sugar Cane,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
kelp,Kelp,64,1,1,,,Inedible,0,4,1,4,1,,With Smoker,,1
moss_carpet,Moss Carpet,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
moss_block,Moss Block,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
hanging_roots,Hanging Roots,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
big_dripleaf,Big Dripleaf,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
small_dripleaf,Small Dripleaf,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
bamboo,Bamboo,64,1,1,,,Inedible,0,4,1,4,1,,No,2,1
oak_slab,Oak Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,7,1
spruce_slab,Spruce Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,7,1
birch_slab,Birch Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,7,1
jungle_slab,Jungle Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,7,1
acacia_slab,Acacia Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,7,1
dark_oak_slab,Dark Oak Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,7,1
mangrove_slab,Mangrove Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,7,1
crimson_slab,Crimson Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
warped_slab,Warped Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
stone_slab,Stone Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
smooth_stone_slab,Smooth Stone Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
sandstone_slab,Sandstone Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
cut_sandstone_slab,Cut Sandstone Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
cobblestone_slab,Cobblestone Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
brick_slab,Brick Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
stone_brick_slab,Stone Brick Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
mud_brick_slab,Mud Brick Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
nether_brick_slab,Nether Brick Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
quartz_slab,Quartz Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
red_sandstone_slab,Red Sandstone Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
cut_red_sandstone_slab,Cut Red Sandstone Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
purpur_slab,Purpur Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
prismarine_slab,Prismarine Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
prismarine_brick_slab,Prismarine Brick Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
dark_prismarine_slab,Dark Prismarine Slab,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
smooth_quartz,Smooth Quartz Block,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
smooth_red_sandstone,Smooth Red Sandstone,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
smooth_sandstone,Smooth Sandstone,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
smooth_stone,Smooth Stone,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
bricks,Bricks,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
bookshelf,Bookshelf,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
mossy_cobblestone,Mossy Cobblestone,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
obsidian,Obsidian,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
torch,Torch,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
end_rod,End Rod,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
chorus_flower,Chorus Flower,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
purpur_block,Purpur Block,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
purpur_pillar,Purpur Pillar,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
purpur_stairs,Purpur Stairs,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
chest,Chest,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
crafting_table,Crafting Table,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
furnace,Furnace,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
ladder,Ladder,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
cobblestone_stairs,Cobblestone Stairs,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
snow,Snow,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
ice,Ice,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
snow_block,Snow Block,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
cactus,Cactus,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,,1
clay,Clay,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,,1
jukebox,Jukebox,64,1,1,,,Inedible,0,4,1,4,1,,No,15,0
oak_fence,Oak Fence,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
spruce_fence,Spruce Fence,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
birch_fence,Birch Fence,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
jungle_fence,Jungle Fence,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
acacia_fence,Acacia Fence,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
dark_oak_fence,Dark Oak Fence,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
mangrove_fence,Mangrove Fence,64,1,1,,,Inedible,0,4,1,4,1,,No,15,1
crimson_fence,Crimson Fence,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
warped_fence,Warped Fence,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
pumpkin,Pumpkin,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
carved_pumpkin,Carved Pumpkin,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
jack_o_lantern,Jack o'Lantern,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
netherrack,Netherrack,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,,1
soul_sand,Soul Sand,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
soul_soil,Soul Soil,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
basalt,Basalt,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,,1
polished_basalt,Polished Basalt,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
smooth_basalt,Smooth Basalt,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
soul_torch,Soul Torch,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
glowstone,Glowstone,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
stone_bricks,Stone Bricks,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,,1
mossy_stone_bricks,Mossy Stone Bricks,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
cracked_stone_bricks,Cracked Stone Bricks,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
chiseled_stone_bricks,Chiseled Stone Bricks,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
packed_mud,Packed Mud,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
mud_bricks,Mud Bricks,64,1,1,,,Inedible,0,4,1,4,1,,No,,1
deepslate_bricks,Deepslate Bricks,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,,0
cracked_deepslate_bricks,Cracked Deepslate Bricks,64,1,1,,,Inedible,0,4,1,4,1,,No,,0
deepslate_tiles,Deepslate Tiles,64,1,1,,,Inedible,0,4,1,4,1,,With Furnace Only,,0
