ID,Items,Stackability,Survival Obtainable,Peaceful Obtainable,Hunger,Saturation,Effect When Eaten,Is Weapon,Attack Speed,Attack Damage,Damage Per Second,Breaking Speed,Cooldown (in seconds),XP From Smelting,Obtainable By Smelting,Smeltable,Fuel Duration,Renewable
deepslate_iron_ore,Deepslate Iron Ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.7,No,With Blast Furnace,None,No
copper_ore,Copper Ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.7,No,With Blast Furnace,None,No
deepslate_copper_ore,Deepslate Copper Ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.7,No,With Blast Furnace,None,No
gold_ore,Gold Ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,1,No,With Blast Furnace,None,No
deepslate_gold_ore,Deepslate Gold Ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,1,No,With Blast Furnace,None,No
redstone_ore,Redstone Ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.3,No,With Blast Furnace,None,No
deepslate_redstone_ore,Deepslate Redstone Ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.3,No,With Blast Furnace,None,No
emerald_ore,Emerald Ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,1,No,With Blast Furnace,None,No
deepslate_emerald_ore,Deepslate Emerald Ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,1,No,With Blast Furnace,None,No
lapis_ore,Lapis Lazuli Ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.2,No,With Blast Furnace,None,No
deepslate_lapis_ore,Deepslate Lapis Lazuli Ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.2,No,With Blast Furnace,None,No
diamond_ore,Diamond Ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,1,No,With Blast Furnace,None,No
deepslate_diamond_ore,Deepslate Diamond Ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,1,No,With Blast Furnace,None,No
nether_gold_ore,Nether Gold Ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,1,No,With Blast Furnace,None,No
nether_quartz_ore,Nether Quartz Ore,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.2,No,With Blast Furnace,None,No
ancient_debris,Ancient Debris,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,2,No,With Blast Furnace,None,No
coal_block,Block of Coal,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,800,Yes
raw_iron_block,Block of Raw Iron,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,No
raw_copper_block,Block of Raw Copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,No
raw_gold_block,Block of Raw Gold,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,No
amethyst_block,Block of Amethyst,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
iron_block,Block of Iron,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
copper_block,Block of Copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
gold_block,Block of Gold,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
diamond_block,Block of Diamond,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,No
netherite_block,Block of Netherite,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,No
exposed_copper,Exposed Copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
weathered_copper,Weathered Copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
oxidized_copper,Oxidized Copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
cut_copper,Cut Copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
exposed_cut_copper,Exposed Cut Copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
weathered_cut_copper,Weathered Cut Copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
oxidized_cut_copper,Oxidized Cut Copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
cut_copper_stairs,Cut Copper Stairs,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
exposed_cut_copper_stairs,Exposed Cut Copper Stairs,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
weathered_cut_copper_stairs,Weathered Cut Copper Stairs,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
oxidized_cut_copper_stairs,Oxidized Cut Copper Stairs,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
cut_copper_slab,Cut Copper Slab,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
exposed_cut_copper_slab,Exposed Cut Copper Slab,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
weathered_cut_copper_slab,Weathered Cut Copper Slab,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
oxidized_cut_copper_slab,Oxidized Cut Copper Slab,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
waxed_copper_block,Waxed Block of Copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
waxed_exposed_copper,Waxed Exposed Copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
waxed_weathered_copper,Waxed Weathered Copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
waxed_oxidized_copper,Waxed Oxidized Copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
waxed_cut_copper,Waxed Cut Copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
waxed_exposed_cut_copper,Waxed Exposed Cut Copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
waxed_weathered_cut_copper,Waxed Weathered Cut Copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
waxed_oxidized_cut_copper,Waxed Oxidized Cut Copper,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
waxed_cut_copper_stairs,Waxed Cut Copper Stairs,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
waxed_exposed_cut_copper_stairs,Waxed Exposed Cut Copper Stairs,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
waxed_weathered_cut_copper_stairs,Waxed Weathered Cut Copper Stairs,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
waxed_oxidized_cut_copper_stairs,Waxed Oxidized Cut Copper Stairs,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
waxed_cut_copper_slab,Waxed Cut Copper Slab,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
waxed_exposed_cut_copper_slab,Waxed Exposed Cut Copper Slab,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
waxed_weathered_cut_copper_slab,Waxed Weathered Cut Copper Slab,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
waxed_oxidized_cut_copper_slab,Waxed Oxidized Cut Copper Slab,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
oak_log,Oak Log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
spruce_log,Spruce Log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
birch_log,Birch Log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
jungle_log,Jungle Log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
acacia_log,Acacia Log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
dark_oak_log,Dark Oak Log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
mangrove_log,Mangrove Log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
mangrove_roots,Mangrove Roots,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
muddy_mangrove_roots,Muddy Mangrove Roots,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
crimson_stem,Crimson Stem,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
warped_stem,Warped Stem,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
stripped_oak_log,Stripped Oak Log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
stripped_spruce_log,Stripped Spruce Log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
stripped_birch_log,Stripped Birch Log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
stripped_jungle_log,Stripped Jungle Log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
stripped_acacia_log,Stripped Acacia Log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
stripped_dark_oak_log,Stripped Dark Oak Log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
stripped_mangrove_log,Stripped Mangrove Log,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
stripped_crimson_stem,Stripped Crimson Stem,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
stripped_warped_stem,Stripped Warped Stem,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
stripped_oak_wood,Stripped Oak Wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
stripped_spruce_wood,Stripped Spruce Wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
stripped_birch_wood,Stripped Birch Wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
stripped_jungle_wood,Stripped Jungle Wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
stripped_acacia_wood,Stripped Acacia Wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
stripped_dark_oak_wood,Stripped Dark Oak Wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
stripped_mangrove_wood,Stripped Mangrove Wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
stripped_crimson_hyphae,Stripped Crimson Hyphae,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
stripped_warped_hyphae,Stripped Warped Hyphae,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
oak_wood,Oak Wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
spruce_wood,Spruce Wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
birch_wood,Birch Wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
jungle_wood,Jungle Wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
acacia_wood,Acacia Wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
dark_oak_wood,Dark Oak Wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
mangrove_wood,Mangrove Wood,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,15,Yes
crimson_hyphae,Crimson Hyphae,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
warped_hyphae,Warped Hyphae,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
oak_leaves,Oak Leaves,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
spruce_leaves,Spruce Leaves,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
birch_leaves,Birch Leaves,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
jungle_leaves,Jungle Leaves,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
acacia_leaves,Acacia Leaves,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
dark_oak_leaves,Dark Oak Leaves,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
mangrove_leaves,Mangrove Leaves,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
azalea_leaves,Azalea Leaves,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
flowering_azalea_leaves,Flowering Azalea Leaves,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
sponge,Sponge,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,With Furnace Only,No,None,No
wet_sponge,Wet Sponge,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.15,No,With Furnace Only,None,No
glass,Glass,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,With Furnace Only,No,None,Yes
tinted_glass,Tinted Glass,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
lapis_block,Block of Lapis Lazuli,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
sandstone,Sandstone,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.1,No,With Furnace Only,None,Yes
chiseled_sandstone,Chiseled Sandstone,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
cut_sandstone,Cut Sandstone,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
cobweb,Cobweb,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,No
grass,Grass,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
fern,Fern,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
azalea,Azalea,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,5,Yes
flowering_azalea,Flowering Azalea,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
dead_bush,Dead Bush,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,No
seagrass,Seagrass,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
sea_pickle,Sea Pickle,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,0.1,No,With Furnace Only,None,Yes
white_wool,White Wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
orange_wool,Orange Wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
magenta_wool,Magenta Wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
light_blue_wool,Light Blue Wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
yellow_wool,Yellow Wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
lime_wool,Lime Wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
pink_wool,Pink Wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
gray_wool,Gray Wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
light_gray_wool,Light Gray Wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
cyan_wool,Cyan Wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
purple_wool,Purple Wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
blue_wool,Blue Wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
brown_wool,Brown Wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
green_wool,Green Wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
red_wool,Red Wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
black_wool,Black Wool,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,15,Yes
dandelion,Dandelion,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
poppy,Poppy,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
blue_orchid,Blue Orchid,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
allium,Allium,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
azure_bluet,Azure Bluet,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
red_tulip,Red Tulip,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
orange_tulip,Orange Tulip,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
white_tulip,White Tulip,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
pink_tulip,Pink Tulip,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
oxeye_daisy,Oxeye Daisy,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
cornflower,Cornflower,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
lily_of_the_valley,Lily of the Valley,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
wither_rose,Wither Rose,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
spore_blossom,Spore Blossom,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,No
brown_mushroom,Brown Mushroom,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
red_mushroom,Red Mushroom,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
crimson_fungus,Crimson Fungus,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
warped_fungus,Warped Fungus,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
crimson_roots,Crimson Roots,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
warped_roots,Warped Roots,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
nether_sprouts,Nether Sprouts,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
weeping_vines,Weeping Vines,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
twisting_vines,Twisting Vines,64,Yes,Yes,None,None,Inedible,No,4,1,4,1,No,Non-Smeltable,No,No,None,Yes
